City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arman,RU,2022-10-18 18:57:07,59.7,150.1667,25.02,52,100,10.38
68,Mahebourg,MU,2022-10-18 18:57:07,-20.4081,57.7,70.09,73,40,9.22
69,Qaqortoq,GL,2022-10-18 18:57:08,60.7167,-46.0333,37.78,83,100,10.67
70,Saskylakh,RU,2022-10-18 18:57:08,71.9167,114.0833,14.29,92,100,10.22
71,Yellowknife,CA,2022-10-18 18:57:08,62.456,-114.3525,43.32,81,20,12.66
72,Mahon,ES,2022-10-18 18:57:09,39.8885,4.2658,72.16,88,75,2.3
73,Dorado,PR,2022-10-18 18:57:09,18.4588,-66.2677,91.26,52,40,8.05
74,Petropavlovsk-Kamchatskiy,RU,2022-10-18 18:57:10,53.0452,158.6483,37.99,52,20,11.18
75,Isangel,VU,2022-10-18 18:57:10,-19.55,169.2667,75.04,86,29,10.33
76,Zhanakorgan,KZ,2022-10-18 18:57:11,43.9098,67.2495,48.52,41,100,9.46
77,Pisco,PE,2022-10-18 18:55:13,-13.7,-76.2167,66.25,68,40,9.22
78,San Cristobal,VE,2022-10-18 18:57:12,7.7669,-72.225,80.78,62,85,1.03
79,Wanaka,NZ,2022-10-18 18:57:13,-44.7,169.15,44.11,65,74,1.99
80,Codrington,AU,2022-10-18 18:57:14,-38.2667,141.9667,49.42,88,0,5.41
81,Georgetown,MY,2022-10-18 18:54:54,5.4112,100.3354,80.53,92,40,2.3
82,Port Alfred,ZA,2022-10-18 18:54:14,-33.5906,26.891,68.18,92,49,3.0
83,Smithers,CA,2022-10-18 18:57:15,54.7804,-127.1743,48.52,76,75,5.75
84,Chuy,UY,2022-10-18 18:57:15,-33.6971,-53.4616,62.78,79,100,15.03
85,Riohacha,CO,2022-10-18 18:57:16,11.5444,-72.9072,87.91,74,20,11.5
86,Puerto Narino,CO,2022-10-18 18:57:17,-3.7703,-70.3831,85.62,63,90,2.86
87,Soverato,IT,2022-10-18 18:57:17,38.685,16.5499,67.15,84,5,6.78
88,Bredasdorp,ZA,2022-10-18 18:57:18,-34.5322,20.0403,60.84,96,89,5.79
89,Oume,JP,2022-10-18 18:57:18,35.7839,139.2431,54.86,88,100,3.4
90,Provideniya,RU,2022-10-18 18:57:19,64.3833,-173.3,25.18,76,10,3.71
91,Zhezkazgan,KZ,2022-10-18 18:58:19,47.8043,67.7144,40.98,45,75,4.47
