City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tigil,RU,57.8,158.6667,10.54,98,76,4.34,broken clouds
80,Cidreira,BR,-30.1811,-50.2056,63.68,64,0,3.62,clear sky
81,Tura,IN,25.5198,90.2201,77.11,49,0,2.82,clear sky
82,Rosita,NI,13.9268,-84.4032,71.55,99,98,3.06,overcast clouds
83,Parabel,RU,58.6978,81.4825,-3.69,89,37,6.44,scattered clouds
84,Merauke,ID,-8.4667,140.3333,84.33,73,100,6.11,moderate rain
85,Hermanus,ZA,-34.4187,19.2345,59.81,64,95,7.29,overcast clouds
86,Victor Harbor,AU,-35.5667,138.6167,63.0,68,0,10.54,clear sky
87,Komsomolskiy,UZ,40.4272,71.7189,43.52,65,11,2.3,few clouds
88,Kruisfontein,ZA,-34.0033,24.7314,65.88,58,96,10.2,overcast clouds
89,Alta Floresta,BR,-9.8756,-56.0861,70.47,94,83,1.45,broken clouds
90,Vallenar,CL,-28.5708,-70.7581,64.9,75,1,1.92,clear sky
91,Inhambupe,BR,-11.7844,-38.3531,70.79,97,79,5.1,broken clouds
92,Tvoroyri,FO,61.5556,-6.8111,49.57,84,92,35.63,overcast clouds
93,Nikolskoye,RU,59.7035,30.7861,35.49,96,100,7.61,light snow
94,Rikitea,PF,-23.1203,-134.9692,74.17,88,100,18.32,moderate rain
95,Nayoro,JP,44.3506,142.4578,35.74,82,88,5.68,overcast clouds
96,Turayf,SA,31.6725,38.6637,55.6,59,57,6.85,broken clouds
97,Victoria,HK,22.2855,114.1577,80.96,74,25,7.0,scattered clouds
98,Rathenow,DE,52.6066,12.337,40.01,74,95,16.28,overcast clouds
99,Sidi Ali,DZ,36.0998,0.4206,63.84,87,91,20.65,overcast clouds
100,Caravelas,BR,-17.7125,-39.2481,71.53,96,100,4.29,moderate rain
101,Saint-Philippe,RE,-21.3585,55.7679,78.39,66,22,7.78,few clouds
102,Thunder Bay,CA,48.4001,-89.3168,22.8,93,100,2.75,light snow
103,Portland,US,45.5234,-122.6762,39.34,72,0,11.01,clear sky
104,Stargard Szczecinski,PL,53.3367,15.0499,36.46,73,9,14.85,clear sky
105,Tonj,SS,7.2737,28.6822,81.63,35,48,3.96,scattered clouds
106,Muli,MV,2.9167,73.5667,81.7,76,67,12.97,broken clouds
107,Hilo,US,19.7297,-155.09,72.25,95,100,8.05,overcast clouds
108,Karratha,AU,-20.7377,116.8463,79.92,44,17,20.36,few clouds
109,Faanui,PF,-16.4833,-151.75,79.95,70,99,0.87,overcast clouds
110,Niksic,ME,42.7731,18.9445,57.67,98,99,3.24,overcast clouds
111,Filderstadt,DE,48.657,9.2205,48.07,93,75,1.14,broken clouds
112,Ulladulla,AU,-35.35,150.4667,60.44,60,26,12.77,scattered clouds
113,Gbadolite,CD,4.2833,21.0167,73.56,70,68,1.45,broken clouds
114,Mangrol,IN,21.1167,70.1167,86.09,38,18,8.93,few clouds
115,Maceio,BR,-9.6658,-35.7353,74.64,94,40,5.75,light rain
116,Anapskaya,RU,44.89,37.38,55.63,93,75,17.9,light intensity shower rain
117,Avarua,CK,-21.2078,-159.775,73.45,78,35,9.22,scattered clouds
118,Mount Isa,AU,-20.7333,139.5,87.57,19,63,10.36,broken clouds
119,Kaitangata,NZ,-46.2817,169.8464,54.5,90,96,5.86,overcast clouds
120,Busselton,AU,-33.65,115.3333,62.87,55,79,20.18,broken clouds
121,Iskar,BG,43.45,24.2667,49.86,93,75,2.3,moderate rain
122,Chuy,UY,-33.6971,-53.4616,58.44,80,1,4.54,clear sky
123,Atikokan,CA,48.7555,-91.6216,20.35,97,100,3.4,light snow
124,Zuwarah,LY,32.9312,12.082,69.49,51,100,22.03,overcast clouds
125,Katsuura,JP,35.1333,140.3,60.39,65,96,13.58,overcast clouds
126,Banfora,BF,10.6333,-4.7667,67.89,20,4,4.85,clear sky
127,San Quintin,MX,30.4833,-115.95,59.81,37,0,4.94,clear sky
128,Port Elizabeth,ZA,-33.918,25.5701,68.09,77,75,7.0,broken clouds
129,Oistins,BB,13.0667,-59.5333,80.69,83,40,16.11,scattered clouds
130,Ca Mau,VN,9.1769,105.15,86.0,71,93,11.16,overcast clouds
131,Saint Anthony,US,45.0205,-93.218,22.1,86,100,9.22,light snow
132,Sao Filipe,CV,14.8961,-24.4956,77.13,66,79,3.29,broken clouds
133,Sangmelima,CM,2.9333,11.9833,67.03,98,50,1.7,scattered clouds
134,West Fargo,US,46.875,-96.9004,26.65,83,100,9.22,overcast clouds
135,Ulaanbaatar,MN,47.9077,106.8832,28.76,52,0,2.62,clear sky
136,Hobart,AU,-42.8794,147.3294,61.27,64,40,17.27,scattered clouds
137,Mayo,US,38.8876,-76.5119,43.99,59,100,10.36,overcast clouds
138,Mocuba,MZ,-16.8392,36.9856,84.31,59,7,2.17,clear sky
139,Fuerte Olimpo,PY,-21.0415,-57.8738,66.06,74,0,4.5,clear sky
140,Loa Janan,ID,-0.583,117.095,87.33,68,99,3.67,light rain
141,Ponta Do Sol,PT,32.6667,-17.1,69.71,83,88,6.73,overcast clouds
142,Mackenzie,CA,55.2999,-123.1698,8.82,94,11,2.95,few clouds
143,Surazh,RU,53.0175,32.3918,24.85,76,8,8.61,clear sky
144,Qaanaaq,GL,77.484,-69.3632,-8.05,84,98,5.17,overcast clouds
145,Bardsir,IR,29.9227,56.5743,60.78,28,8,5.93,clear sky
146,Chajul,GT,15.4853,-91.0342,54.3,98,77,3.04,light rain
147,Aklavik,CA,68.2191,-135.0107,8.6,85,0,3.44,clear sky
148,Koppies,ZA,-27.2418,27.5742,75.6,43,10,11.25,clear sky
149,Goya,AR,-29.14,-59.2626,65.61,58,28,3.42,scattered clouds
150,Mehran,IR,33.1222,46.1646,68.79,56,100,2.77,overcast clouds
151,Bilibino,RU,68.0546,166.4372,-2.79,98,92,0.69,overcast clouds
152,Adamovka,RU,51.5223,59.9396,22.12,88,99,4.61,overcast clouds
153,Bethel,US,41.3712,-73.414,38.53,73,0,5.75,clear sky
154,Nome,US,64.5011,-165.4064,32.16,74,100,21.85,overcast clouds
155,Namatanai,PG,-3.6667,152.4333,83.1,72,100,10.29,overcast clouds
156,Itarema,BR,-2.9248,-39.9167,77.68,75,23,12.24,few clouds
157,Nanortalik,GL,60.1432,-45.2371,19.08,75,19,20.65,few clouds
158,Raudeberg,NO,61.9875,5.1352,45.27,43,0,7.72,clear sky
159,Anadyr,RU,64.75,177.4833,28.9,93,75,6.71,broken clouds
160,Dano,BF,11.15,-3.0667,68.29,19,21,5.68,few clouds
161,Rio Grande,BR,-32.035,-52.0986,65.39,73,0,5.46,clear sky
162,Rawson,AR,-43.3002,-65.1023,59.36,53,39,18.48,scattered clouds
163,Lavrentiya,RU,65.5833,-171.0,33.6,95,100,11.86,snow
164,Ourem,PT,39.6417,-8.5919,62.6,93,100,11.32,overcast clouds
165,Along,IN,28.1667,94.7667,78.58,35,74,1.1,broken clouds
166,Port Blair,IN,11.6667,92.75,78.84,89,75,4.61,broken clouds
167,Canandaigua,US,42.8742,-77.288,35.37,91,98,1.01,overcast clouds
168,Constitucion,CL,-35.3333,-72.4167,56.73,83,32,11.88,scattered clouds
169,Hokitika,NZ,-42.7167,170.9667,63.64,68,88,4.47,overcast clouds
170,Guilin,CN,25.2819,110.2864,60.37,89,99,3.76,overcast clouds
171,Amahai,ID,-3.3333,128.9167,85.59,70,99,8.72,light rain
172,Arraial Do Cabo,BR,-22.9661,-42.0278,71.15,72,28,10.83,scattered clouds
173,Leningradskiy,RU,69.3833,178.4167,6.03,95,99,2.17,overcast clouds
174,Novyy Urengoy,RU,66.0833,76.6333,2.68,96,98,8.75,overcast clouds
175,Zapadnaya Dvina,RU,56.259,32.0745,27.25,92,100,3.67,light snow
176,San Jacinto,US,33.7839,-116.9586,58.55,31,0,6.31,clear sky
177,Waingapu,ID,-9.6567,120.2641,86.85,67,84,8.52,broken clouds
178,Dingle,PH,10.9995,122.6711,84.04,75,73,11.81,broken clouds
179,Nemuro,JP,43.3236,145.575,42.71,56,60,11.79,broken clouds
180,Iqaluit,CA,63.7506,-68.5145,-2.47,100,83,9.86,broken clouds
181,Upernavik,GL,72.7868,-56.1549,11.37,93,100,14.12,overcast clouds
182,Ayr,GB,55.4627,-4.6339,44.31,93,0,0.0,clear sky
183,Lorengau,PG,-2.0226,147.2712,84.43,62,91,8.57,overcast clouds
184,San Patricio,US,28.017,-97.5169,52.84,65,100,7.09,overcast clouds
185,Bonavista,CA,48.6499,-53.1147,33.42,74,100,8.5,overcast clouds
186,Gorontalo,ID,0.5412,123.0595,85.78,71,95,2.64,overcast clouds
